/home/migly-home/git/roborescue-v1.2/boot/logs
Waiting for '/home/migly-home/git/roborescue-v1.2/boot/logs/kernel.log' to exist...
Still waiting for '/home/migly-home/git/roborescue-v1.2/boot/logs/kernel.log' to exist...
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Reading included config 'gis.cfg'
TRACE startup : Setting 'gis.map.dir' to '/home/ali/maps/test/Berlin3/map'
TRACE startup : Setting 'gis.map.file' to 'map.gml'
TRACE startup : Setting 'gis.map.scenario' to 'scenario.xml'
TRACE startup : Setting 'gis.map.floor-placement.random' to 'true'
TRACE startup : Setting 'gis.map.floor-placement.random.floor-rate.1' to '2'
TRACE startup : Setting 'gis.map.floor-placement.random.floor-rate.2' to '1'
TRACE startup : Setting 'gis.map.floor-placement.random.floor-rate.3' to '1'
TRACE startup : Reading included config 'comms.cfg'
TRACE startup : Reading included config 'comms/comms-05-medium.cfg'
TRACE startup : Setting 'comms.channels.count' to '4'
TRACE startup : Setting 'comms.channels.0.type' to 'voice'
TRACE startup : Setting 'comms.channels.0.range' to '30000'
TRACE startup : Setting 'comms.channels.0.messages.size' to '256'
TRACE startup : Setting 'comms.channels.0.messages.max' to '1'
TRACE startup : Setting 'comms.channels.0.noise.input.dropout.use' to 'yes'
TRACE startup : Setting 'comms.channels.0.noise.input.dropout.p' to '0.1'
TRACE startup : Setting 'comms.channels.1.type' to 'radio'
TRACE startup : Setting 'comms.channels.1.bandwidth' to '1024'
TRACE startup : Setting 'comms.channels.1.noise.input.failure.use' to 'yes'
TRACE startup : Setting 'comms.channels.1.noise.input.failure.p' to '0.1'
TRACE startup : Setting 'comms.channels.1.noise.output.dropout.use' to 'yes'
TRACE startup : Setting 'comms.channels.1.noise.output.dropout.p' to '0.05'
TRACE startup : Setting 'comms.channels.2.type' to 'radio'
TRACE startup : Setting 'comms.channels.2.bandwidth' to '1024'
TRACE startup : Setting 'comms.channels.2.noise.input.failure.use' to 'yes'
TRACE startup : Setting 'comms.channels.2.noise.input.failure.p' to '0.1'
TRACE startup : Setting 'comms.channels.2.noise.output.dropout.use' to 'yes'
TRACE startup : Setting 'comms.channels.2.noise.output.dropout.p' to '0.05'
TRACE startup : Setting 'comms.channels.3.type' to 'radio'
TRACE startup : Setting 'comms.channels.3.bandwidth' to '1024'
TRACE startup : Setting 'comms.channels.3.noise.input.failure.use' to 'yes'
TRACE startup : Setting 'comms.channels.3.noise.input.failure.p' to '0.1'
TRACE startup : Setting 'comms.channels.3.noise.output.dropout.use' to 'yes'
TRACE startup : Setting 'comms.channels.3.noise.output.dropout.p' to '0.05'
TRACE startup : Setting 'comms.channels.max.platoon' to '1'
TRACE startup : Setting 'comms.channels.max.centre' to '2'
TRACE startup : Reading included config 'perception.cfg'
